PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Bernd Leno,1992-03-04,Germany,83.0,190.0,Goalkeeper
Arthur Okonkwo,2001-09-09,England,,198.0,Goalkeeper
Kieran Tierney,1997-06-05,Scotland,70.0,178.0,Defender
Gabriel Magalhães,1997-12-19,Brazil,78.0,190.0,Defender
Rob Holding,1995-09-20,England,75.0,189.0,Defender
Cédric Soares,1991-08-31,Portugal,67.0,172.0,Defender
Bukayo Saka,2001-09-05,England,65.0,178.0,Forward
Thomas Partey,1993-06-13,Ghana,77.0,185.0,Midfielder
Mohamed Elneny,1992-07-11,Egypt,70.0,180.0,Midfielder
Emile Smith Rowe,2000-07-28,England,79.0,182.0,Midfielder
Granit Xhaka,1992-09-27,Switzerland,82.0,185.0,Midfielder
Alexandre Lacazette,1991-05-28,France,73.0,175.0,Forward
Nicolas Pépé,1995-05-29,Cote D’Ivoire,73.0,183.0,Forward
Eddie Nketiah,1999-05-30,England,72.0,175.0,Forward
Gabriel Martinelli,2001-06-18,Brazil,75.0,178.0,Forward
Nuno Tavares,2000-01-26,Portugal,75.0,183.0,Defender
Albert Sambi Lokonga,1999-10-22,Belgium,67.0,173.0,Midfielder
Benjamin White,1997-10-08,England,78.0,182.0,Defender
Martin Ødegaard,1998-12-17,Norway,68.0,178.0,Midfielder
Aaron Ramsdale,1998-05-14,England,77.0,188.0,Goalkeeper
Takehiro Tomiyasu,1998-11-05,Japan,70.0,188.0,Defender
Salah-Eddine Oulad M'hand,2003-08-20,Netherlands,,,Midfielder
Charlie Patino,2003-10-17,England,,,Midfielder
Omari Hutchinson,2003-10-29,England,,,Midfielder
Mika Biereth,2003-02-08,England,,,Forward
Zach Awe,2004-01-09,England,,,Defender
Zak Swanson,2000-09-28,England,,,Defender
Mazeed Ogungbo,2002-10-20,Ireland,,,Defender
Marcelo Flores,2003-10-01,Mexico,,,Midfielder
Miguel Azeez,2002-09-20,England,,,Midfielder
Emiliano Martínez,1992-09-02,Argentina,88.0,195.0,Goalkeeper
Matthew Cash,1997-08-07,Poland,,185.0,Defender
Ezri Konsa,1997-10-23,England,77.0,183.0,Defender
Tyrone Mings,1993-03-13,England,77.0,196.0,Defender
Kortney Hause,1995-07-16,England,77.0,191.0,Defender
Douglas Luiz,1998-05-09,Brazil,66.0,175.0,Midfielder
John McGinn,1994-10-18,Scotland,68.0,178.0,Midfielder
Marvelous Nakamba,1994-01-19,Zimbabwe,71.0,178.0,Midfielder
Morgan Sanson,1994-08-18,France,73.0,180.0,Midfielder
Jacob Ramsey,2001-05-28,England,,,Midfielder
Ollie Watkins,1995-12-30,England,70.0,180.0,Forward
Bertrand Traoré,1995-09-06,Burkina Faso,73.0,181.0,Forward
Emiliano Buendía,1996-12-25,Argentina,72.0,172.0,Midfielder
Ashley Young,1985-07-09,England,65.0,175.0,Defender
Leon Bailey,1997-08-09,Jamaica,77.0,178.0,Forward
Danny Ings,1992-07-23,England,73.0,178.0,Forward
Carney Chukwuemeka,2003-10-20,England,,,Midfielder
Viljami Sinisalo,2001-10-11,Finland,,,Goalkeeper
Sil Swinkels,2004-01-06,Netherlands,,,Defender
Lamare Bogarde,2004-01-05,Netherlands,,,Midfielder
